"code",approved,flag,category,subcat,title,author,year,isbn,other_info,comments
"apolloniavoss",1,0,"Jewelry Techniques","","Lost Wax Casting of Jewelry","Keith Edwards","1974","ISBN: 08092863328","Mills &amp; Boon: London",""
"apolloniavoss",1,0,"Jewelry Techniques","","The Metasmith&rsquo;s Book of Boxes &amp; Lockets","Tim McCeight","1999","ISBN:0965824896","Hand Books Press: Madison Wisconsin",""
"apolloniavoss",1,0,"Jewelry Techniques","","The Thames and Hudson Manual of Metalworking","Peter Scott","1978","Thames and Hudson: London","",""
"raffaella",1,0,"Blacksmithing","","American Blacksmithing - Toolsmith and Steelworkers Manual","By Holmstrom &amp; Holford","1912","Printed for Sears Roebuck &amp; Co by Fredrick J. Drake &amp; Co.","",""
"raffaella",1,0,"Blacksmithing","","The Art of Blacksmithing - Revised Edition","By Alex W. Bealer","1976 ","ISBN 13: 978-0-7858-0395-9 , ISBN 10: 0-7858-0395-5","",""
"raffaella",1,0,"Blacksmithing","","Blacksmith Shop &amp; Iron Forging","&ldquo;Lost Technology Series&rdquo; Reprinted by Lindsay Publications","1906","ISBN: 0-917914-07-4","Original publication ©1906 by International Correspondance Schools",""
"raffaella",1,0,"Blacksmithing","","Manual of Blacksmithing","By John R. Smith","1902","ISBN: 1-55918-128-1","Reprinted by Lindsay Publications",""
"raffaella",1,0,"Blacksmithing","","Elementary Forge Practice","By Robert H. Harcourt","1917","ISBN: 1-55918-169-9","Reprinted by Lindsay Publications",""
"raffaella",1,0,"Blacksmithing","","The Blacksmith&rsquo;s Craft - A Primer of Tools &amp; Methods","By Charles McRaven","2005","ISBN 13: 978-1-58017-593-7 , ISBN 10: 1-58017-593-7","",""
"raffaella",1,0,"Blacksmithing","","The Backyard Blacksmith - Traditional Techniques for the Modern Smith","By Lorelei Sims","2006","ISBN: 1-59359-251-9","",""
"raffaella",1,0,"Blacksmithing","","Elementary Wrought Iron","By J.W. Bollinger","1930 ","ISBN: 1-55918-210-5","Reprinted by Lindsay Publications; Original publication ©1930 Bollinger Press",""
"raffaella",1,0,"Blacksmithing","","The Pattern-Welded Blade - Artistry in Iron","By Jim Hrisoulas","1994 ","ISBN: 978-1-58160-544-0","",""
"raffaella",1,0,"Metals, Smelting &amp; Casting","","Elementary Metallurgy","By W.T. Frier","1942","McGraw-Hill Book Company, Inc.","",""
"raffaella",1,0,"Metals, Smelting &amp; Casting","","Making Iron &amp; Steel - The Historic Process, 1700-1900, 2nd edition","By Jack Chard","1995","Published by the North Jersey Highlands Historical Society","P.O. Box 248, Ringwood NJ 07456",""
"raffaella",1,0,"Metals, Smelting &amp; Casting","","American Charcoal Making in the Era of the Cold-Blast Furnace","Hopewell Furnace National Historic Site","","","2 Mark Bird Lane, Elverson, PA 19520",""
"raffaella",1,0,"Metals, Smelting &amp; Casting","","Secrets of Green Sand Casting","&ldquo;Lost Technology Series&rdquo; Reprinted by Lindsay Publications","1906","ISBN: 0-917914-08-2","Original publication ©1906 by International Correspondance Schools",""
"raffaella",1,0,"Jewelry and Decorative Metalwork","","Great Wire Jewelry - Projects &amp; Techniques","By Irene From Peterson","1998","ISBN: 1-57990-093-3","",""
"raffaella",1,0,"Jewelry and Decorative Metalwork","","Ancient Wire - an Illustrated Guide to making intricate jewelry in the manner of the Vikings and other ancient cultures","By Helene Jacobs","2005","www.AncientWire.com","",""
"raffaella",1,0,"Jewelry and Decorative Metalwork","","Vikings - The North Atlantic Saga","Edited by William H. Fitzhugh and Elisabeth I Ward","2000","ISBN: 1-56098-970-x","Smithsonian Institution Press",""
"raffaella",1,0,"Jewelry and Decorative Metalwork","","Treasures of Early Irish Art 1500BC to 1500 AD","The Metropolitan Museum of Art","1977","ISBN: 0-87099-164-7","",""
"raffaella",1,0,"Jewelry and Decorative Metalwork","","The Barbarian Kings - Treasures of the World","By Lionel Casson","1982","ISBN: 0-86706-050-6","",""
