"code",approved,flag,category,subcat,title,author,year,isbn,other_info,comments
"carowyn",1,0,"JEWELRY BOOKS","","Bulletin of Rhode Island School of Design: Museum Notes, June 1976, Selection VI: Ancient Jewelry from the Museum's Collection","Museum of Art, Rhode Island School of Design, Providence, Rhode Island","","LCC 76-16947","",""
"carowyn",1,0,"JEWELRY BOOKS","","Chic &amp; Glamour","Christie's - Geneva","10/14/00","","",""
"carowyn",1,0,"JEWELRY BOOKS","","Decorative Ring-Headed Pins in Scotland","D.D.A &amp; M. Simpson","1968","","treatise to the Antiquarian Society, Dumfriesshire",""
"carowyn",1,0,"JEWELRY BOOKS","","Early Medieval Art","John Beckwith","","LCC 64-19953","",""
"carowyn",1,0,"JEWELRY BOOKS","","El Dorado: The Gold of Ancient Colombia","from El Museo de Oro, Bogota, Colombia","1974","","",""
"carowyn",1,0,"JEWELRY BOOKS","","Ethnic Jewelry","John Mack, ed","1988","ISBN 0-8109-0891-3","",""
"carowyn",1,0,"JEWELRY BOOKS","","Fine Jewels","Parke-Bernet Galleries - New York","5/15/69","","",""
"carowyn",1,0,"JEWELRY BOOKS","","Finger Ring Lore","William Jones","1890","lcc 67-24357","London / Chatto &amp; Windus, Piccadilly",""
"carowyn",1,0,"JEWELRY BOOKS","","Finger Rings","Diana Scarisbrick &amp; Martin Henig","","ISBN 1-85444-166-3","",""
"carowyn",1,0,"JEWELRY BOOKS","","Five Centuries of Jewelry in the West: 16th to 20th Century","Jean Lanllier &amp; Marie-Ann Pini","1983","isbn 0-517-67240-5","",""
"carowyn",1,0,"JEWELRY BOOKS","","5000 Years of Gems and Jewelry","Frances Rogers &amp; Alice Beard","1947","J.B.Lippincott Company / Philadelphia","",""
"carowyn",1,0,"JEWELRY BOOKS","","5000 Years of Gems and Jewelry","Frances Rogers &amp; Alice Beard","1940","Frederick A Stokes Company / New York","",""
"carowyn",1,0,"JEWELRY BOOKS","","Four Centuries of European Jewellery","Ernle Bradford","1953","no ISBN","Spring Books / England",""
"carowyn",1,0,"JEWELRY BOOKS","","From the Beginning: Archeology and Art in the Israel Museum, Jerusalem","Karl Katz et al","1968","LCC 68-23229","",""
"carowyn",1,0,"JEWELRY BOOKS","","The Gold of Troy: Searching For Homer's Fabled City","Irina Antonova, Vladimir Tolstikov, Mikhail Treister","1996","isbn 0-500-01717-4","",""
"carowyn",1,0,"JEWELRY BOOKS","","A Golden Legacy: Ancient Jewelry from the Burton Y Berry Collection","Wolf Rudolph","1995","ISBN 0-253-34980-X","",""
"carowyn",1,0,"JEWELRY BOOKS","","The Golden Treasure Trove of the Russian Museum","Russian Museum","1998","ISBN 5-900872-69-6","",""
"carowyn",1,0,"JEWELRY BOOKS","","The Great Book of Jewels","Ernst A. &amp; Jean Heininger","1974","isbn 0-517-181320","",""
"carowyn",1,0,"JEWELRY BOOKS","","Greek and Roman Jewellery","Filippo Coarelli","1966","isbn 0-600-01247-6","",""
"carowyn",1,0,"JEWELRY BOOKS","","Highly Important Jewels","Parke-Bernet Galleries - New York","4/13/67","","",""
"carowyn",1,0,"JEWELRY BOOKS","","Highly Important Jewels","Parke-Bernet Galleries - New York","11/13/68","","",""
"carowyn",1,0,"JEWELRY BOOKS","","A History of Jewelry: Five Thousand Years","J Anderson Black","1974","isbn 0-517-34437-8","",""
"carowyn",1,0,"JEWELRY BOOKS","","Important Renaissance Jewels &amp; Gold Snuffboxes","Sotheby's - New York","12/10/73","","",""
"carowyn",1,0,"JEWELRY BOOKS","","Important Jewels","Christie's - New York","12/8/92","","",""
